evaluations raw_y
1 712805.0325647662
3 717256.4226419333
24 717972.4869361629
26 718686.2592787646
38 721097.5943561514
44 729803.2445097608
69 738102.8342897304
79 738641.8841508767
81 743583.8240741348
99 745154.7863695511
101 747574.6252137658
103 748998.1084534292
110 762317.9118419292
116 771801.6440994178
124 787878.2058422847
162 790374.8761911530
201 790523.8530033904
206 792028.2627174309
207 798748.8460543054
211 805938.7739153423
229 809505.4894617340
261 813719.5948341597
282 815993.1436090183
289 817085.6938624742
302 817253.3976276723
306 818026.2250351006
310 818091.1845748187
312 819455.5234296946
327 821984.1340992730
328 826511.0803407528
347 828594.6972154913
364 830205.7244185797
365 830237.7561749461
372 830596.6307126083
384 836487.0025105714
405 837712.7072020774
430 837987.2265804746
435 838006.8826451366
439 840709.1313861184
451 842063.1601984353
466 842879.4036996573
485 848266.3168735066
509 850664.1105348595
546 851150.0059487937
554 852248.2862950767
579 852916.7250410232
582 853169.5284479421
593 853208.6304912205
601 853905.0607096161
604 855540.1403907650
621 855980.7364422387
641 856110.4462248631
650 856150.7149046378
652 856687.0769404467
653 857131.2088519097
655 857574.6503560523
663 857743.1634750275
682 857910.7152847970
689 858826.4386921985
696 860487.8172065517
718 861546.0831988354
731 862273.9529374072
741 862514.8269422321
742 863281.3633930178
762 863924.2672039464
782 864118.4705221145
788 865530.0818642966
828 865806.6794587070
830 866986.3286873943
841 867685.1375924883
861 867944.0182006813
864 868323.5262111059
872 868801.6263911896
881 869024.1354334294
883 869519.6851095489
894 869691.0972865702
903 870257.7953336734
913 870405.7148158498
926 870828.3764874885
934 872052.2464835115
958 872155.7554019269
966 873217.7488141441
988 874127.0419818336
1004 874197.4260690822
1008 875500.3015975442
1033 876524.8079174745
1044 877341.3968766484
1066 877980.9092804624
1070 878031.0321930508
1077 880409.0186940760
1106 880748.7795638202
1112 881851.9538676408
1133 882366.7993979566
1140 883733.5533054664
1152 884154.7718148321
1160 885062.8547799077
1181 885147.7827586253
1185 885546.6466099316
1202 885836.5169902720
1216 887118.5017915330
1225 887539.1164223143
1250 888702.3527155451
1281 888859.3711713467
1283 889411.9469103802
1286 889457.4518375226
